"idp";"nome";"prezzo";"img";"descrizione";"tipo"
73;"Salsiccia Toscana e Castelmagno";9.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/ps_stc.jpg";"Castelmagno Mozzarella Pomodoro Salsiccia toscana";"Pizza"
74;"Salsiccia Toscana e Pecorino";9.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/ps_stp.jpg";"Mozzarella Pecorino Pomodoro Salsiccia toscana";"Pizza"
75;"Salsiccia Toscana";11.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/ps_sts.jpg";"Mozzarella Pomodoro Salsiccia toscana ";"Pizza"
76;"Tonno  Olive e Rucola";11.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/ps_tor.jpg";"Mozzarella Olive Pomodoro Rucola Tonno";"Pizza"
77;"Tropea";7.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/ps_trp.jpg";"Cipolla rossa Mozzarella nduja Pomodoro";"Pizza"
78;"Acqua Minerale Microfiltrata";3.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_acq.jpg";"in vetro - 75 cl.";"Bevanda"
79;"Becks";6.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_bck.jpg";"in vetro - 33 cl.";"Bevanda"
80;"Coca Cola";3.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_ccl.jpg";"in vetro - 33 cl.";"Bevanda"
81;"Coca Cola Zero";5.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_ccz.jpg";"in vetro - 33 cl.";"Bevanda"
82;"Ceres";4.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_cer.jpg";"in vetro - 33 cl.";"Bevanda"
83;"Chinotto";4.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_chn.jpg";"in vetro - 33 cl.";"Bevanda"
84;"The al Limone";6.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_esl.jpg";"in lattina - 33 cl.";"Bevanda"
85;"The alla Pesca";3.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_esp.jpg";"in lattina - 33 cl.";"Bevanda"
86;"Fanta";3.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_fnt.jpg";"in vetro - 33 cl.";"Bevanda"
87;"Grimbergen Blanche";6.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_grb.jpg";"25 cl.";"Bevanda"
88;"Grimbergen Double";4.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_grd.jpg";"in vetro - 25 cl.";"Bevanda"
89;"Grimbergen Blonde";5.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_grl.jpg";"in vetro - 25 cl.";"Bevanda"
90;"Moretti";3.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_mor.jpg";"in vetro - 66 cl.";"Bevanda"
91;"Poretti Ipa";4.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_por.jpg";"in vetro - 33 cl.";"Bevanda"
92;"Acqua Tonica";4.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_shw.jpg";"in lattina - 33 cl.";"Bevanda"
93;"Sprite";4.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_spr.jpg";"in vetro - 33 cl.";"Bevanda"
94;"Super Tennets";5.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/bb_ten.jpg";"in vetro - 33 cl.";"Bevanda"
95;"Tiramisu";4.5;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/dl_trm.jpg";"Classico dolce italiano con mascarpone e caffè";"Dolce"
96;"Cheesecake";5.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/dl_chs.jpg";"Dolce con base di biscotti e crema al formaggio";"Dolce"
97;"Panna Cotta";3.5;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/dl_pnc.jpg";"Dolce cremoso servito con salsa ai frutti di bosco";"Dolce"
98;"Profiteroles";4.75;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/dl_prf.jpg";"Bignè ripieni di crema ricoperti di cioccolato";"Dolce"
99;"Torta Caprese";5.2;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/dl_ttc.jpg";"Torta al cioccolato e mandorle tipica di Capri";"Dolce"
100;"Cannolo Siciliano";3.8;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/dl_cns.jpg";"Cialda croccante ripiena di ricotta e gocce di cioccolato";"Dolce"
101;"Sfogliatella";4.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/dl_sfg.jpg";"Pasticceria napoletana con ripieno di ricotta e semola";"Dolce"
102;"Torta della Nonna";4.3;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/dl_tdn.jpg";"Torta con pasta frolla, crema pasticcera e pinoli";"Dolce"
103;"Babà al Rum";4.2;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/dl_bbr.jpg";"Dolce soffice imbevuto di rum";"Dolce"
104;"Crostata di Frutta";4.1;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/dl_tfr.jpg";"Base di pasta frolla con crema pasticcera e frutta fresca";"Dolce"
